URL,subdomain,domain,tld,path_rest,url_length,path_rest_length,num_spcs_chars,domain_entropy,domain_age,created_year,updated_year,expires_year,country_code,Label
eurovis.altervista.org/login,org,eurovis.altervista.org,org,login,28,5,0,3.516027641266231,,,,,,bad
www.egitimogretimci.com/wp-admin/images/screenshots/index.htm,com,www.egitimogretimci.com,com,wp-admin/images/screenshots/index.htm,61,37,0,3.240528260216712,,,,,,bad
www.fill-1.ru/media/system/images/sec-fr/Processing.php?cmd=_Processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af43651fd874a08cbf0626afe4dc136c3524ab1fd874a08cbf0626afe4dc136c3524ab,ru,www.fill-1.ru,ru,media/system/images/sec-fr/Processing.php?cmd=_Processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af43651fd874a08cbf0626afe4dc136c3524ab1fd874a08cbf0626afe4dc136c3524ab,209,195,0,3.0269868333592873,5377.0,2008,,2023,,bad
ecatreviews.com//wp-includes/images/boomzz.html,com,ecatreviews.com,com,/wp-includes/images/boomzz.html,47,31,0,3.4565647621309536,,,,,,bad
randexpr.com/css/123659854/125689545/security/login.php,com,randexpr.com,com,css/123659854/125689545/security/login.php,55,42,0,3.418295834054489,8065.0,2001,2023,2024,US,bad
randexpr.com/css/123659854/12568954120/security/login.php,com,randexpr.com,com,css/123659854/12568954120/security/login.php,57,44,0,3.418295834054489,8065.0,2001,2023,2024,US,bad
www.emotionalvirtue.com/paypal.com.login-submit.dispatch.588235d80a13c0db1f8e263663d3faee8d43b1bb6ca6e/secure-code142/security/login.php,com,www.emotionalvirtue.com,com,paypal.com.login-submit.dispatch.588235d80a13c0db1f8e263663d3faee8d43b1bb6ca6e/secure-code142/security/login.php,136,112,0,3.675310868912364,4285.0,2011,2023,2024,US,bad
paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.5885d80a13c03faee8dcbcd55a50598f04d34b4bf5tt1.mediareso.com/secure-code4/security/login.php,com,paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.5885d80a13c03faee8dcbcd55a50598f04d34b4bf5tt1.mediareso.com,com,secure-code4/security/login.php,143,31,0,4.520492013901288,,,,,,bad
www.paypal.com.cgi-bin.webscr.dispatch.654a651951c965198e4195132321c9849a.6516c5132132e13516c9851616e51651d32.65a1651c321321321321.056516e56516e519849a1.bigmikestyles.com/update/,com,www.paypal.com.cgi-bin.webscr.dispatch.654a651951c965198e4195132321c9849a.6516c5132132e13516c9851616e51651d32.65a1651c321321321321.056516e56516e519849a1.bigmikestyles.com,com,update/,178,7,0,4.322125283970012,,,,,,bad
www.paypal.com.cgi-bin.webscr.cmd.login-submit.dispatch.5885d80a13c0d36.63d3fae3e7f0184a.5674f290db9e9c846.mathieu-robert.com/,com,www.paypal.com.cgi-bin.webscr.cmd.login-submit.dispatch.5885d80a13c0d36.63d3fae3e7f0184a.5674f290db9e9c846.mathieu-robert.com,com,,126,0,0,4.792360113533346,1494.0,2019,2023,2024,RE,bad
